PartitionKey,RowKey,DeviceId,DeviceId@type,EventEnqueuedUtcTime,EventEnqueuedUtcTime@type,EventProcessedUtcTime,Latency,EventProcessedUtcTime@type,Humidity,Humidity@type,IoTHub,IoTHub@type,Light,Light@type,PartitionId,PartitionId@type,Sound,Sound@type,Temperature,Temperature@type,Gas,Gas@type,,Time,average delay,max delay,min delay
MT3620,2019-06-28T02:14:27.6250000Z,MT3620,Edm.String,2019-06-28T02:14:27.625Z,Edm.DateTime,2019-06-28T02:14:27.706Z,0.081,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,387,Edm.Int64,25,Edm.Int64,325,Edm.Int64,,6PM-7PM,87.026316,175,25
MT3620,2019-06-28T02:14:59.1050000Z,MT3620,Edm.String,2019-06-28T02:14:59.105Z,Edm.DateTime,2019-06-28T02:14:59.139Z,0.034,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,330,Edm.Int64,25,Edm.Int64,318,Edm.Int64,,7PM-8PM,92.5,147,29
MT3620,2019-06-28T02:15:30.5240000Z,MT3620,Edm.String,2019-06-28T02:15:30.524Z,Edm.DateTime,2019-06-28T02:15:30.553Z,0.029,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,311,Edm.Int64,25,Edm.Int64,295,Edm.Int64,,8PM-9PM,86.984375,146,28
MT3620,2019-06-28T02:16:02.4920000Z,MT3620,Edm.String,2019-06-28T02:16:02.492Z,Edm.DateTime,2019-06-28T02:16:02.548Z,0.056,Edm.DateTime,59,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,327,Edm.Int64,25,Edm.Int64,308,Edm.Int64,,,,,
MT3620,2019-06-28T02:16:33.7990000Z,MT3620,Edm.String,2019-06-28T02:16:33.799Z,Edm.DateTime,2019-06-28T02:16:33.854Z,0.055,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,360,Edm.Int64,25,Edm.Int64,326,Edm.Int64,,,,,
MT3620,2019-06-28T02:17:05.2820000Z,MT3620,Edm.String,2019-06-28T02:17:05.282Z,Edm.DateTime,2019-06-28T02:17:05.342Z,0.06,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,379,Edm.Int64,25,Edm.Int64,331,Edm.Int64,,,,,
MT3620,2019-06-28T02:17:36.7170000Z,MT3620,Edm.String,2019-06-28T02:17:36.717Z,Edm.DateTime,2019-06-28T02:17:36.813Z,0.096,Edm.DateTime,58,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,361,Edm.Int64,25,Edm.Int64,325,Edm.Int64,,,,,
MT3620,2019-06-28T02:18:08.2040000Z,MT3620,Edm.String,2019-06-28T02:18:08.204Z,Edm.DateTime,2019-06-28T02:18:08.289Z,0.085,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,382,Edm.Int64,25,Edm.Int64,340,Edm.Int64,,,,,
MT3620,2019-06-28T02:18:39.5540000Z,MT3620,Edm.String,2019-06-28T02:18:39.554Z,Edm.DateTime,2019-06-28T02:18:39.584Z,0.03,Edm.DateTime,59,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,344,Edm.Int64,25,Edm.Int64,308,Edm.Int64,,,,,
MT3620,2019-06-28T02:19:11.0130000Z,MT3620,Edm.String,2019-06-28T02:19:11.013Z,Edm.DateTime,2019-06-28T02:19:11.106Z,0.093,Edm.DateTime,58,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,339,Edm.Int64,25,Edm.Int64,307,Edm.Int64,,,,,
MT3620,2019-06-28T02:19:42.3440000Z,MT3620,Edm.String,2019-06-28T02:19:42.344Z,Edm.DateTime,2019-06-28T02:19:42.417Z,0.073,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,391,Edm.Int64,25,Edm.Int64,320,Edm.Int64,,,,,
MT3620,2019-06-28T02:20:13.5220000Z,MT3620,Edm.String,2019-06-28T02:20:13.522Z,Edm.DateTime,2019-06-28T02:20:13.577Z,0.055,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,361,Edm.Int64,25,Edm.Int64,320,Edm.Int64,,,,,
MT3620,2019-06-28T02:20:44.9510000Z,MT3620,Edm.String,2019-06-28T02:20:44.951Z,Edm.DateTime,2019-06-28T02:20:45.004Z,0.053,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,427,Edm.Int64,25,Edm.Int64,352,Edm.Int64,,,,,
MT3620,2019-06-28T02:21:16.8690000Z,MT3620,Edm.String,2019-06-28T02:21:16.869Z,Edm.DateTime,2019-06-28T02:21:16.921Z,0.052,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,393,Edm.Int64,25,Edm.Int64,342,Edm.Int64,,,,,
MT3620,2019-06-28T02:21:48.3920000Z,MT3620,Edm.String,2019-06-28T02:21:48.392Z,Edm.DateTime,2019-06-28T02:21:48.516Z,0.124,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,358,Edm.Int64,25,Edm.Int64,303,Edm.Int64,,,,,
MT3620,2019-06-28T02:22:20.2570000Z,MT3620,Edm.String,2019-06-28T02:22:20.257Z,Edm.DateTime,2019-06-28T02:22:20.333Z,0.076,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,379,Edm.Int64,25,Edm.Int64,322,Edm.Int64,,,,,
MT3620,2019-06-28T02:22:51.4840000Z,MT3620,Edm.String,2019-06-28T02:22:51.484Z,Edm.DateTime,2019-06-28T02:22:51.607Z,0.123,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,372,Edm.Int64,25,Edm.Int64,309,Edm.Int64,,,,,
MT3620,2019-06-28T02:23:23.5920000Z,MT3620,Edm.String,2019-06-28T02:23:23.592Z,Edm.DateTime,2019-06-28T02:23:23.636Z,0.044,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,413,Edm.Int64,25,Edm.Int64,341,Edm.Int64,,,,,
MT3620,2019-06-28T02:23:54.9190000Z,MT3620,Edm.String,2019-06-28T02:23:54.919Z,Edm.DateTime,2019-06-28T02:23:55.021Z,0.102,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,396,Edm.Int64,25,Edm.Int64,322,Edm.Int64,,,,,
MT3620,2019-06-28T02:24:26.2220000Z,MT3620,Edm.String,2019-06-28T02:24:26.222Z,Edm.DateTime,2019-06-28T02:24:26.327Z,0.105,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,437,Edm.Int64,25,Edm.Int64,341,Edm.Int64,,,,,
MT3620,2019-06-28T02:24:57.8970000Z,MT3620,Edm.String,2019-06-28T02:24:57.897Z,Edm.DateTime,2019-06-28T02:24:57.967Z,0.07,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,373,Edm.Int64,25,Edm.Int64,318,Edm.Int64,,,,,
MT3620,2019-06-28T02:25:29.3120000Z,MT3620,Edm.String,2019-06-28T02:25:29.312Z,Edm.DateTime,2019-06-28T02:25:29.404Z,0.092,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,414,Edm.Int64,25,Edm.Int64,333,Edm.Int64,,,,,
MT3620,2019-06-28T02:26:01.0400000Z,MT3620,Edm.String,2019-06-28T02:26:01.040Z,Edm.DateTime,2019-06-28T02:26:01.141Z,0.101,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,416,Edm.Int64,25,Edm.Int64,345,Edm.Int64,,,,,
MT3620,2019-06-28T02:26:32.5600000Z,MT3620,Edm.String,2019-06-28T02:26:32.560Z,Edm.DateTime,2019-06-28T02:26:32.668Z,0.108,Edm.DateTime,58,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,351,Edm.Int64,25,Edm.Int64,315,Edm.Int64,,,,,
MT3620,2019-06-28T02:27:03.8230000Z,MT3620,Edm.String,2019-06-28T02:27:03.823Z,Edm.DateTime,2019-06-28T02:27:03.923Z,0.1,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,434,Edm.Int64,25,Edm.Int64,362,Edm.Int64,,,,,
MT3620,2019-06-28T02:27:35.0960000Z,MT3620,Edm.String,2019-06-28T02:27:35.096Z,Edm.DateTime,2019-06-28T02:27:35.191Z,0.095,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,368,Edm.Int64,25,Edm.Int64,323,Edm.Int64,,,,,
MT3620,2019-06-28T02:28:06.3470000Z,MT3620,Edm.String,2019-06-28T02:28:06.347Z,Edm.DateTime,2019-06-28T02:28:06.395Z,0.048,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,371,Edm.Int64,25,Edm.Int64,345,Edm.Int64,,,,,
MT3620,2019-06-28T02:28:37.6470000Z,MT3620,Edm.String,2019-06-28T02:28:37.647Z,Edm.DateTime,2019-06-28T02:28:37.686Z,0.039,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,396,Edm.Int64,25,Edm.Int64,335,Edm.Int64,,,,,
MT3620,2019-06-28T02:29:08.9810000Z,MT3620,Edm.String,2019-06-28T02:29:08.981Z,Edm.DateTime,2019-06-28T02:29:09.021Z,0.04,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,454,Edm.Int64,25,Edm.Int64,370,Edm.Int64,,,,,
MT3620,2019-06-28T02:29:41.1410000Z,MT3620,Edm.String,2019-06-28T02:29:41.141Z,Edm.DateTime,2019-06-28T02:29:41.176Z,0.035,Edm.DateTime,57,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,363,Edm.Int64,25,Edm.Int64,325,Edm.Int64,,,,,
MT3620,2019-06-28T02:30:12.5180000Z,MT3620,Edm.String,2019-06-28T02:30:12.518Z,Edm.DateTime,2019-06-28T02:30:12.592Z,0.074,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,407,Edm.Int64,25,Edm.Int64,346,Edm.Int64,,,,,
MT3620,2019-06-28T02:30:43.8980000Z,MT3620,Edm.String,2019-06-28T02:30:43.898Z,Edm.DateTime,2019-06-28T02:30:43.988Z,0.09,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,448,Edm.Int64,25,Edm.Int64,375,Edm.Int64,,,,,
